,agency_index,fiscal_year,base_and_all_options_value
778, SECURITIES AND EXCHANGE COMMISSION,2011.0,265403876.40000004
779, SMITHSONIAN INSTITUTION,2013.0,270373161.5300001
780, AGENCY FOR INTERNATIONAL DEVELOPMENT,2003.0,276172883.33
781,,2016.0,284253342.76
782, NUCLEAR REGULATORY COMMISSION,2012.0,292518913.0099999
783, NUCLEAR REGULATORY COMMISSION,2010.0,299305810.5900001
784, OFFICE OF PERSONNEL MANAGEMENT,2006.0,301905362.2199999
785," ENERGY, DEPARTMENT OF",2015.0,307745724.6000001
786, Department of Defense,2001.0,323192768.79999995
787," HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",2005.0,324631065.12000006
788, SMITHSONIAN INSTITUTION,2015.0,326442386.72999954
789," EDUCATION, DEPARTMENT OF",2013.0,327132391.8099998
790," ENERGY, DEPARTMENT OF",2008.0,332316724.8400001
791, SECURITIES AND EXCHANGE COMMISSION,2013.0,334960221.88000035
792, National Aeronautics and Space Administration,2000.0,349629400.95
793, ENVIRONMENTAL PROTECTION AGENCY,2004.0,353137156.9899999
794, OFFICE OF PERSONNEL MANAGEMENT,2007.0,353731068.61999995
795, SECURITIES AND EXCHANGE COMMISSION,2015.0,354441463.43999994
796," STATE, DEPARTMENT OF",2003.0,355178877.02000016
797," AGRICULTURE, DEPARTMENT OF",2003.0,356823053.15000004
798," INTERIOR, DEPARTMENT OF THE",2003.0,362015011.9099999
799," EDUCATION, DEPARTMENT OF",2005.0,363358449.4600002
800," VETERANS AFFAIRS, DEPARTMENT OF",2001.0,367428504.5199999
801," ENERGY, DEPARTMENT OF",2002.0,391014670.74999994
802, SOCIAL SECURITY ADMINISTRATION,2016.0,399867184.6099998
803, ENVIRONMENTAL PROTECTION AGENCY,2016.0,404889690.9099995
804," HOMELAND SECURITY, DEPARTMENT OF",2003.0,418369663.5700002
805," TREASURY, DEPARTMENT OF THE",2003.0,425638134.61999714
806, SOCIAL SECURITY ADMINISTRATION,2007.0,460956816.7600001
807,,2007.0,461020479.5400008
808, OFFICE OF PERSONNEL MANAGEMENT,2013.0,496996040.5800004
809," EDUCATION, DEPARTMENT OF",2004.0,502271938.16
810, National Aeronautics and Space Administration,2008.0,510591111.63000065
811," HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",2007.0,517388816.8700002
812," LABOR, DEPARTMENT OF",2010.0,518384006.9400006
813," COMMERCE, DEPARTMENT OF",2008.0,518481999.82
814," VETERANS AFFAIRS, DEPARTMENT OF",2002.0,530620046.85999995
815, OFFICE OF PERSONNEL MANAGEMENT,2010.0,545484262.4300001
816, ENVIRONMENTAL PROTECTION AGENCY,2005.0,547925544.2299978
817, SOCIAL SECURITY ADMINISTRATION,2010.0,559417778.7399993
818, Department of Health and Human Services,2015.0,560145339.5199946
819,,2006.0,563093577.6500008
820," JUSTICE, DEPARTMENT OF",2008.0,565945395.9200003
821," ENERGY, DEPARTMENT OF",2016.0,576074118.1499995
822," LABOR, DEPARTMENT OF",2016.0,577940835.7199999
823," HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",2009.0,585295478.2199997
824, National Aeronautics and Space Administration,2001.0,628642642.8800001
825," LABOR, DEPARTMENT OF",2004.0,630186448.2200001
826," HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",2004.0,640064200.1099999
827, OFFICE OF PERSONNEL MANAGEMENT,2015.0,640180029.7000005
828, National Aeronautics and Space Administration,2003.0,644652694.6999999
829, OFFICE OF PERSONNEL MANAGEMENT,2009.0,652481434.2300003
830," INTERIOR, DEPARTMENT OF THE",2008.0,656058016.0399998
831," EDUCATION, DEPARTMENT OF",2007.0,657666227.4299994
832," HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",2011.0,662326647.9400002
833," HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",2006.0,688018651.7799997
834," STATE, DEPARTMENT OF",2008.0,694667225.4199994
835," EDUCATION, DEPARTMENT OF",2009.0,701555550.0400001
836," EDUCATION, DEPARTMENT OF",2006.0,712897816.5400003
837," JUSTICE, DEPARTMENT OF",2003.0,716496892.8599997
838," VETERANS AFFAIRS, DEPARTMENT OF",2013.0,732710970.379962
839,,2009.0,748780351.1700003
840, Department of Defense,2004.0,779381539.7000012
841, SOCIAL SECURITY ADMINISTRATION,2009.0,780059716.7400012
842," TREASURY, DEPARTMENT OF THE",2008.0,787067290.3099996
843, SOCIAL SECURITY ADMINISTRATION,2012.0,797132524.1700022
844, OFFICE OF PERSONNEL MANAGEMENT,2012.0,806177626.670001
845, SOCIAL SECURITY ADMINISTRATION,2013.0,807550180.3400004
846, National Aeronautics and Space Administration,2013.0,812652883.100002
847," ENERGY, DEPARTMENT OF",2009.0,840926269.4
848," EDUCATION, DEPARTMENT OF",2011.0,852864500.6600009
849, AGENCY FOR INTERNATIONAL DEVELOPMENT,2008.0,853765305.6400005
850, Department of Transportation,2005.0,880995033.6199998
851," COMMERCE, DEPARTMENT OF",2011.0,888173336.5300051
852," EDUCATION, DEPARTMENT OF",2012.0,909486324.7299997
853, SOCIAL SECURITY ADMINISTRATION,2011.0,925806483.3999999
854, SOCIAL SECURITY ADMINISTRATION,2015.0,925846606.2599983
855, Department of Health and Human Services,2000.0,929870376.5999998
856,,2012.0,932188883.4999995
857, Department of Transportation,2004.0,957522698.5099999
858," STATE, DEPARTMENT OF",2004.0,1019384007.3800002
859, OFFICE OF PERSONNEL MANAGEMENT,2011.0,1021851883.1200005
860, National Aeronautics and Space Administration,2006.0,1022034512.7500004
861," VETERANS AFFAIRS, DEPARTMENT OF",2003.0,1026443074.6800004
862," VETERANS AFFAIRS, DEPARTMENT OF",2014.0,1041653653.399998
863, ENVIRONMENTAL PROTECTION AGENCY,2015.0,1054173528.1999992
864,,2010.0,1070890160.7299988
865," LABOR, DEPARTMENT OF",2007.0,1074690286.9399984
866," AGRICULTURE, DEPARTMENT OF",2008.0,1077434324.9599972
867,,2013.0,1079584147.980001
868," COMMERCE, DEPARTMENT OF",2016.0,1112351310.4400012
869, AGENCY FOR INTERNATIONAL DEVELOPMENT,2005.0,1119078091.0199997
870, ENVIRONMENTAL PROTECTION AGENCY,2012.0,1119605683.6800008
871," HOMELAND SECURITY, DEPARTMENT OF",2008.0,1138347288.8500028
872," INTERIOR, DEPARTMENT OF THE",2016.0,1142220702.229994
873," LABOR, DEPARTMENT OF",2006.0,1142763413.7500007
874,,2015.0,1153072453.9500008
875," COMMERCE, DEPARTMENT OF",2004.0,1166415552.9199984
876, National Aeronautics and Space Administration,2016.0,1176158074.8100019
877," COMMERCE, DEPARTMENT OF",2005.0,1206687955.9099982
878, ENVIRONMENTAL PROTECTION AGENCY,2013.0,1209809173.8100019
879,,2011.0,1210626182.659999
880," STATE, DEPARTMENT OF",2014.0,1223711899.0700047
881, Department of Health and Human Services,2008.0,1249079643.8100014
882, ENVIRONMENTAL PROTECTION AGENCY,2007.0,1269751954.4800014
883," AGRICULTURE, DEPARTMENT OF",2016.0,1272962072.020002
884, ENVIRONMENTAL PROTECTION AGENCY,2009.0,1294962217.9099984
885,,2014.0,1309129167.7299972
886," LABOR, DEPARTMENT OF",2011.0,1371803319.3100054
887, Department of Defense,2014.0,1374480732.5600002
888," TREASURY, DEPARTMENT OF THE",2016.0,1400865006.2199957
889," LABOR, DEPARTMENT OF",2014.0,1486011850.0299997
890, ENVIRONMENTAL PROTECTION AGENCY,2006.0,1510958274.780003
891," LABOR, DEPARTMENT OF",2015.0,1513267583.9999967
892, Department of Transportation,2016.0,1535540960.3300025
893, ENVIRONMENTAL PROTECTION AGENCY,2011.0,1583334419.4799984
894," JUSTICE, DEPARTMENT OF",2004.0,1593256421.2000017
895," ENERGY, DEPARTMENT OF",2011.0,1604969959.220001
896, Department of Health and Human Services,2007.0,1607011338.0100212
897, Department of Transportation,2008.0,1623855467.2900033
898, National Aeronautics and Space Administration,2007.0,1639039524.56
899, Department of Transportation,2015.0,1669855382.4400048
900," LABOR, DEPARTMENT OF",2013.0,1716553819.8500016
901," JUSTICE, DEPARTMENT OF",2016.0,1746319006.7099996
902," STATE, DEPARTMENT OF",2005.0,1754158190.930004
903," COMMERCE, DEPARTMENT OF",2014.0,1773831657.3599985
904," STATE, DEPARTMENT OF",2016.0,1780764169.8900073
905," HOMELAND SECURITY, DEPARTMENT OF",2004.0,1842925676.0199993
906," LABOR, DEPARTMENT OF",2012.0,1882194276.1799974
907," TREASURY, DEPARTMENT OF THE",2004.0,1893407363.319999
908," AGRICULTURE, DEPARTMENT OF",2004.0,1902198592.1700037
909, General Services Administration,2000.0,1954707148.9300008
910, General Services Administration,2016.0,2000464113.1300156
911," INTERIOR, DEPARTMENT OF THE",2014.0,2104951958.0900114
912," HOMELAND SECURITY, DEPARTMENT OF",2015.0,2117427098.0099986
913, Department of Transportation,2006.0,2123843553.180002
914," COMMERCE, DEPARTMENT OF",2007.0,2145468917.940001
915, Department of Health and Human Services,2016.0,2172934620.920004
916, Department of Health and Human Services,2004.0,2174376848.7699966
917," COMMERCE, DEPARTMENT OF",2013.0,2191882807.0300055
918," TREASURY, DEPARTMENT OF THE",2010.0,2341052173.169997
919," AGRICULTURE, DEPARTMENT OF",2005.0,2435151478.1100035
920," INTERIOR, DEPARTMENT OF THE",2004.0,2465360988.910002
921," COMMERCE, DEPARTMENT OF",2009.0,2471745408.609994
922," INTERIOR, DEPARTMENT OF THE",2007.0,2484662437.5399985
923," COMMERCE, DEPARTMENT OF",2012.0,2513394117.219999
924," COMMERCE, DEPARTMENT OF",2006.0,2515610086.7500143
925," INTERIOR, DEPARTMENT OF THE",2010.0,2552627115.7200174
926," JUSTICE, DEPARTMENT OF",2005.0,2590400981.499992
927, Department of Health and Human Services,2001.0,2594297623.1700006
928, Department of Transportation,2012.0,2675438518.650002
929, National Aeronautics and Space Administration,2012.0,2701537496.740005
930," COMMERCE, DEPARTMENT OF",2010.0,2726132169.839997
931, General Services Administration,2001.0,2786955774.0300016
932, Department of Defense,2005.0,2796140602.0500045
933," JUSTICE, DEPARTMENT OF",2014.0,2827905335.1500125
934," INTERIOR, DEPARTMENT OF THE",2005.0,2963250228.9499836
935," INTERIOR, DEPARTMENT OF THE",2013.0,2972546179.4100037
936," STATE, DEPARTMENT OF",2006.0,3003792783.120018
937," INTERIOR, DEPARTMENT OF THE",2015.0,3045460188.7799945
938," TREASURY, DEPARTMENT OF THE",2007.0,3060830520.309996
939, National Aeronautics and Space Administration,2009.0,3065420852.0000014
940," VETERANS AFFAIRS, DEPARTMENT OF",2008.0,3136038104.9098325
941, AGENCY FOR INTERNATIONAL DEVELOPMENT,2009.0,3159655783.4700055
942," COMMERCE, DEPARTMENT OF",2015.0,3165837184.9900055
943, Department of Health and Human Services,2002.0,3194839289.3300004
944," VETERANS AFFAIRS, DEPARTMENT OF",2004.0,3203189378.1200027
945," INTERIOR, DEPARTMENT OF THE",2009.0,3275659767.9699945
946," INTERIOR, DEPARTMENT OF THE",2006.0,3329027365.7999763
947," AGRICULTURE, DEPARTMENT OF",2014.0,3407169987.340002
948," STATE, DEPARTMENT OF",2013.0,3450368996.9400125
949," INTERIOR, DEPARTMENT OF THE",2011.0,3458306040.8700104
950," STATE, DEPARTMENT OF",2010.0,3509696714.4700217
951," STATE, DEPARTMENT OF",2012.0,3620301424.139947
952," STATE, DEPARTMENT OF",2009.0,3629730684.6099987
953, Department of Transportation,2013.0,3649603826.7500157
954," STATE, DEPARTMENT OF",2007.0,3667607183.7599916
955, Department of Health and Human Services,2003.0,3840209352.879998
956, AGENCY FOR INTERNATIONAL DEVELOPMENT,2007.0,3875579310.869999
957," INTERIOR, DEPARTMENT OF THE",2012.0,3915796465.160001
958," TREASURY, DEPARTMENT OF THE",2012.0,3967581846.5699925
959," TREASURY, DEPARTMENT OF THE",2006.0,4003243716.429998
960," TREASURY, DEPARTMENT OF THE",2013.0,4121551755.720027
961," AGRICULTURE, DEPARTMENT OF",2007.0,4150438331.8899884
962," JUSTICE, DEPARTMENT OF",2006.0,4159633930.39997
963," STATE, DEPARTMENT OF",2011.0,4226926009.6200123
964, Department of Defense,2002.0,4243635748.7799993
965," TREASURY, DEPARTMENT OF THE",2015.0,4243709748.3700027
966," AGRICULTURE, DEPARTMENT OF",2006.0,4280856964.5400033
967, Department of Health and Human Services,2009.0,4288078212.0700035
968," AGRICULTURE, DEPARTMENT OF",2015.0,4331311484.5
969, Department of Transportation,2011.0,4394412249.810015
970," JUSTICE, DEPARTMENT OF",2010.0,4528779963.619953
971," STATE, DEPARTMENT OF",2015.0,4547880462.669975
972, General Services Administration,2002.0,4673037186.9299965
973," TREASURY, DEPARTMENT OF THE",2011.0,4708037765.320019
974," VETERANS AFFAIRS, DEPARTMENT OF",2005.0,4745096650.399993
975," JUSTICE, DEPARTMENT OF",2007.0,4919025173.350039
976, Department of Health and Human Services,2005.0,4955037864.680004
977," VETERANS AFFAIRS, DEPARTMENT OF",2016.0,4993580321.660017
978," JUSTICE, DEPARTMENT OF",2015.0,5148978748.569987
979," JUSTICE, DEPARTMENT OF",2009.0,5192851447.01
980," AGRICULTURE, DEPARTMENT OF",2011.0,5202418461.970003
981," AGRICULTURE, DEPARTMENT OF",2009.0,5274552716.429987
982," AGRICULTURE, DEPARTMENT OF",2010.0,5298787987.039994
983," AGRICULTURE, DEPARTMENT OF",2013.0,5361295275.849973
984," AGRICULTURE, DEPARTMENT OF",2012.0,5371400040.309961
985," JUSTICE, DEPARTMENT OF",2013.0,5522937350.590041
986," JUSTICE, DEPARTMENT OF",2011.0,5645744643.040001
987," VETERANS AFFAIRS, DEPARTMENT OF",2010.0,5840401333.509986
988," HOMELAND SECURITY, DEPARTMENT OF",2005.0,6024306700.969968
989, Department of Transportation,2009.0,6035254875.419983
990," JUSTICE, DEPARTMENT OF",2012.0,6364140034.390025
991, General Services Administration,2003.0,6399314043.010001
992, Department of Transportation,2007.0,6772751533.029977
993, General Services Administration,2013.0,7538923341.7200165
994, Department of Health and Human Services,2011.0,7832901929.83998
995, General Services Administration,2010.0,8182891682.540097
996," HOMELAND SECURITY, DEPARTMENT OF",2012.0,8301258104.519943
997," VETERANS AFFAIRS, DEPARTMENT OF",2006.0,9001890692.23839
998, General Services Administration,2012.0,9031428630.059835
999, General Services Administration,2004.0,9250452626.700037
1000, Department of Defense,2003.0,9277531274.880007
1001," HOMELAND SECURITY, DEPARTMENT OF",2007.0,9760596788.449957
1002," HOMELAND SECURITY, DEPARTMENT OF",2006.0,10239883941.599957
1003," HOMELAND SECURITY, DEPARTMENT OF",2011.0,10319154523.779879
1004," VETERANS AFFAIRS, DEPARTMENT OF",2007.0,12024829440.638416
1005, General Services Administration,2005.0,12361040418.409391
1006, Department of Health and Human Services,2006.0,13691116191.300064
1007," VETERANS AFFAIRS, DEPARTMENT OF",2009.0,13762230453.339743
1008, Department of Defense,2013.0,14940449981.859953
1009," VETERANS AFFAIRS, DEPARTMENT OF",2015.0,15399211454.31039
1010," VETERANS AFFAIRS, DEPARTMENT OF",2012.0,15931026432.489943
1011," VETERANS AFFAIRS, DEPARTMENT OF",2011.0,16528129949.209824
1012, General Services Administration,2008.0,23674126289.71018
1013, Department of Defense,2011.0,23897963755.061497
1014, Department of Defense,2006.0,28432941090.940132
1015, Department of Defense,2008.0,32009525466.449974
1016, General Services Administration,2007.0,48431214808.02894
1017, General Services Administration,2006.0,48505398027.33775
1018, General Services Administration,2011.0,114081677589.93086
1019, General Services Administration,2009.0,132840486769.39839
